"name","rank","state_name","state_code","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","type","degree_length","in_state_total","out_of_state_total"
"Adams State University",16,"Colorado","CO",44400,81400,56,3,"Public","4 Year",18222,29238
"Adventist University of Health Sciences",14,"Florida","FL",51600,89800,88,5,"Private","4 Year",19350,19350
"Agnes Scott College",14,"Georgia","GA",46000,83600,57,26,"Private","4 Year",53490,53490
"Alabama State University",20,"Alabama","AL",39800,71500,61,16,"Public","4 Year",16490,24818
"Alaska Pacific University",3,"Alaska","AK",50300,90000,67,6,"Private","4 Year",28130,28130
"Albany College of Pharmacy and Health Sciences",1,"New-York","NY",81000,144800,82,2,"Private","4 Year",46025,46025
"Albertus Magnus College",18,"Connecticut","CT",49700,85900,62,2,"Private","4 Year",45260,45260
"Albion College",7,"Michigan","MI",52100,99300,44,23,"Private","4 Year",58155,58155
"Alcorn State University",10,"Mississippi","MS",40900,69500,67,19,"Public","4 Year",16752,16752
"Allen College",5,"Iowa","IA",51600,91300,NA,0,"Private","4 Year",27252,27252
"Alma College",15,"Michigan","MI",48400,89900,52,15,"Private","4 Year",51256,51256
"Amberton University",24,"Texas","TX",52800,93600,57,0,"Private","4 Year",12840,12840
"Amherst College",10,"Massachusetts","MA",63800,116500,45,32,"Private","4 Year",71166,71166
"Amridge University",24,"Alabama","AL",35700,65900,NA,0,"Private","4 Year",6900,6900
"Andrews University",21,"Michigan","MI",47600,85000,51,7,"Private","4 Year",38366,38366
"Appalachian State University",15,"North-Carolina","NC",46600,82700,47,9,"Public","4 Year",15518,30325
"Arizona Christian University",5,"Arizona","AZ",42600,76600,NA,7,"Private","4 Year",37470,37470
"Arkansas Tech University",13,"Arkansas","AR",45000,76900,54,7,"Public","4 Year",16938,23718
"Armstrong State University",16,"Georgia","GA",46600,81500,60,10,"Public","4 Year",17769,31251
"Asbury University",20,"Kentucky","KY",39400,70800,59,4,"Private","4 Year",37358,37358
"Athens State University",15,"Alabama","AL",45000,78800,51,9,"Public","4 Year",6810,12870
"Auburn University",1,"Alabama","AL",54400,104500,51,31,"Public","4 Year",24608,43856
"Auburn University at Montgomery",13,"Alabama","AL",45000,79600,61,12,"Public","4 Year",17268,29028
"Augsburg University",12,"Minnesota","MN",50500,91000,52,11,"Private","4 Year",49080,49080
"Augusta University",13,"Georgia","GA",47000,84400,69,10,"Public","4 Year",20398,39436
"Augustana University",3,"South-Dakota","SD",47900,88400,54,18,"Private","4 Year",41266,41266
"Austin Peay State University",20,"Tennessee","TN",44200,78200,63,10,"Public","4 Year",19111,35167
"Avila University",17,"Missouri","MO",45900,81200,68,3,"Private","4 Year",27100,27100
"Babson College",4,"Massachusetts","MA",72000,133800,37,0,"Private","4 Year",67416,67416
"Baker University",10,"Kansas","KS",47800,84200,55,2,"Private","4 Year",38240,38240
"Ball State University",22,"Indiana","IN",45600,83700,48,7,"Public","4 Year",20130,36702
"Barnard College",19,"New-York","NY",59200,109800,57,19,"Private","4 Year",72257,72257
